1,obluzowany opona
2,halasujacy drzwi
3,zardzewialy opona
4,porysowany opona
5,obluzowany si這wniki
6,piszczacy zaciski
7,piszczacy klocki hamulcowe
8,zardzewialy si這wniki
9,uszkodzony ch這dnica
10,porysowany drzwi
11,porysowany drzwi
12,porysowany drzwi
13,zardzewialy zawieszenie
14,uszkodzony zawieszenie
15,obluzowany zawieszenie
16,uszkodzony opona
17,piszczacy alternator
18,brak ch這dnica
19,zardzewialy zaciski
20,obluzowany skrzynia
21,brak zaciski
22,porysowany si這wniki
23,brak zaciski
24,obluzowany klocki hamulcowe
25,halasujacy skrzynia
26,piszczacy si這wniki
27,cieknacy alternator
28,zardzewialy silnik
29,uszkodzony tarcze hamulcowe
30,zardzewialy tarcze hamulcowe
31,halasujacy zaciski
32,halasujacy alternator
33,piszczacy silnik
34,brak drzwi
35,piszczacy drzwi
36,zardzewialy opona
37,zardzewialy klocki hamulcowe
38,halasujacy zaciski
39,uszkodzony opona
40,obluzowany drzwi
41,porysowany silnik
42,cieknacy podwozie
43,piszczacy alternator
44,piszczacy drzwi
45,cieknacy karoseria
46,brak podwozie
47,porysowany drzwi
48,porysowany klapa
49,brak zaciski
50,uszkodzony ch這dnica
51,uszkodzony karoseria
52,uszkodzony karoseria
53,halasujacy tarcze hamulcowe
54,halasujacy klapa
55,brak podwozie
56,obluzowany zaciski
57,piszczacy ch這dnica
58,halasujacy si這wniki
59,brak opona
60,halasujacy si這wniki
61,uszkodzony ch這dnica
62,piszczacy klocki hamulcowe
63,cieknacy karoseria
64,porysowany opona
65,uszkodzony alternator
66,obluzowany zaciski
67,cieknacy ch這dnica
68,halasujacy zaciski
69,porysowany silnik
70,zardzewialy zaciski
71,porysowany klapa
72,halasujacy opona
73,porysowany alternator
74,halasujacy alternator
75,piszczacy podwozie
76,brak tarcze hamulcowe
77,halasujacy drzwi
78,zardzewialy drzwi
79,brak klapa
80,porysowany drzwi
81,zardzewialy zaciski
82,piszczacy opona
83,piszczacy zaciski
84,cieknacy si這wniki
85,obluzowany klapa
86,piszczacy ch這dnica
87,obluzowany karoseria
88,zardzewialy opona
89,brak ch這dnica
90,porysowany tarcze hamulcowe
91,porysowany ch這dnica
92,cieknacy skrzynia
93,porysowany karoseria
94,cieknacy klocki hamulcowe
95,porysowany zawieszenie
96,uszkodzony zaciski
97,porysowany ch這dnica
98,halasujacy skrzynia
99,brak drzwi
100,halasujacy karoseria
101,uszkodzony skrzynia
102,porysowany skrzynia
103,porysowany klocki hamulcowe
104,zardzewialy skrzynia
105,uszkodzony drzwi
106,cieknacy drzwi
107,brak drzwi
108,zardzewialy zaciski
109,porysowany skrzynia
110,porysowany silnik
111,brak zawieszenie
112,cieknacy klapa
113,obluzowany silnik
114,cieknacy si這wniki
115,halasujacy ch這dnica
116,zardzewialy zawieszenie
117,cieknacy drzwi
118,piszczacy si這wniki
119,uszkodzony silnik
120,cieknacy klocki hamulcowe
121,porysowany opona
122,zardzewialy skrzynia
123,halasujacy klocki hamulcowe
124,cieknacy podwozie
125,piszczacy opona
126,piszczacy tarcze hamulcowe
127,piszczacy klapa
128,halasujacy podwozie
129,uszkodzony klocki hamulcowe
130,porysowany podwozie
131,piszczacy zawieszenie
132,halasujacy opona
133,brak silnik
134,halasujacy opona
135,piszczacy silnik
136,obluzowany alternator
137,cieknacy ch這dnica
138,uszkodzony skrzynia
139,halasujacy opona
140,piszczacy drzwi
141,cieknacy alternator
142,brak zaciski
143,brak tarcze hamulcowe
144,brak karoseria
145,obluzowany silnik
146,cieknacy klocki hamulcowe
147,piszczacy tarcze hamulcowe
148,halasujacy zaciski
149,cieknacy ch這dnica
150,porysowany silnik
151,uszkodzony zawieszenie
152,porysowany ch這dnica
153,piszczacy skrzynia
154,halasujacy skrzynia
155,halasujacy si這wniki
156,cieknacy klocki hamulcowe
157,halasujacy ch這dnica
158,halasujacy drzwi
159,brak karoseria
160,cieknacy zaciski
161,halasujacy si這wniki
162,brak klocki hamulcowe
163,brak skrzynia
164,piszczacy si這wniki
165,piszczacy ch這dnica
166,porysowany silnik
167,zardzewialy skrzynia
168,porysowany podwozie
169,uszkodzony klapa
170,piszczacy opona
171,cieknacy karoseria
172,uszkodzony alternator
173,piszczacy tarcze hamulcowe
174,cieknacy opona
175,obluzowany skrzynia
176,halasujacy drzwi
177,zardzewialy silnik
178,cieknacy skrzynia
179,zardzewialy si這wniki
180,halasujacy skrzynia
181,piszczacy tarcze hamulcowe
182,piszczacy podwozie
183,piszczacy drzwi
184,brak si這wniki
185,halasujacy ch這dnica
186,obluzowany drzwi
187,piszczacy si這wniki
188,obluzowany skrzynia
189,zardzewialy zaciski
190,obluzowany si這wniki
191,obluzowany si這wniki
192,brak si這wniki
193,piszczacy zaciski
194,piszczacy si這wniki
195,piszczacy skrzynia
196,porysowany opona
197,halasujacy karoseria
198,cieknacy si這wniki
199,brak ch這dnica
200,zardzewialy zawieszenie
201,obluzowany zaciski
202,halasujacy zawieszenie
203,cieknacy zawieszenie
204,uszkodzony podwozie
205,zardzewialy zawieszenie
206,cieknacy opona
207,halasujacy karoseria
208,zardzewialy alternator
209,zardzewialy silnik
210,halasujacy ch這dnica
211,brak zawieszenie
212,piszczacy podwozie
213,cieknacy si這wniki
214,halasujacy drzwi
215,zardzewialy skrzynia
216,zardzewialy zawieszenie
217,zardzewialy tarcze hamulcowe
218,obluzowany alternator
219,cieknacy podwozie
220,halasujacy klapa
221,uszkodzony skrzynia
222,porysowany si這wniki
223,cieknacy alternator
224,cieknacy karoseria
225,zardzewialy zaciski
226,obluzowany skrzynia
227,porysowany tarcze hamulcowe
228,cieknacy zaciski
229,halasujacy zaciski
230,piszczacy klocki hamulcowe
231,halasujacy podwozie
232,brak zaciski
233,obluzowany drzwi
234,halasujacy silnik
235,uszkodzony alternator
236,brak klocki hamulcowe
237,uszkodzony ch這dnica
238,halasujacy silnik
239,halasujacy zawieszenie
240,halasujacy si這wniki
241,piszczacy klocki hamulcowe
242,brak opona
243,piszczacy skrzynia
244,obluzowany skrzynia
245,zardzewialy ch這dnica
246,piszczacy klocki hamulcowe
247,brak klocki hamulcowe
248,brak klapa
249,piszczacy drzwi
250,piszczacy zawieszenie
251,cieknacy klapa
252,brak silnik
253,halasujacy zawieszenie
254,brak opona
255,brak klapa
256,uszkodzony podwozie
257,piszczacy drzwi
258,piszczacy karoseria
259,halasujacy klocki hamulcowe
260,uszkodzony alternator
261,uszkodzony skrzynia
262,zardzewialy drzwi
263,cieknacy klocki hamulcowe
264,obluzowany podwozie
265,brak si這wniki
266,halasujacy klapa
267,uszkodzony tarcze hamulcowe
268,cieknacy skrzynia
269,halasujacy tarcze hamulcowe
270,zardzewialy zawieszenie
271,halasujacy si這wniki
272,porysowany drzwi
273,uszkodzony podwozie
274,halasujacy zaciski
275,uszkodzony silnik
276,uszkodzony si這wniki
277,obluzowany ch這dnica
