1,2094
2,1642
3,6226
4,1054
5,7319
6,5656
7,5734
8,4602
9,5436
10,2856
11,5566
12,9631
13,4648
14,2580
15,4985
16,1280
17,6527
18,2370
19,7747
20,109
21,9232
22,8426
23,3801
24,7602
25,3198
26,3313
27,6907
28,2586
29,6931
30,2685
31,7897
32,3581
33,5857
34,4193
35,6452
36,2688
37,8478
38,8887
39,5048
40,3806
41,8207
42,4046
43,1996
44,9380
45,7008
46,2754
47,6147
48,6913
49,8980
50,1102
51,8712
52,1781
53,4530
54,522
55,5779
56,2982
57,1958
58,637
59,8098
60,2148
61,4736
62,7830
63,4922
64,1600
65,7857
66,6829
67,8630
68,2750
69,6516
70,666
71,6083
72,9103
73,486
74,9296
75,9252
76,4087
77,4465
78,5284
79,518
80,3487
81,4561
82,1008
83,8548
84,5781
85,6697
86,9912
87,2629
88,3070
89,4447
90,5174
91,9088
92,8839
93,4888
94,4820
95,4322
96,8733
97,7457
98,4660
99,6137
100,9799
101,6311
102,6933
103,9523
104,4869
105,3493
106,9961
107,4643
108,7548
109,8951
110,7248
111,561
112,9603
113,2159
114,2063
115,2578
116,144
117,3256
118,628
119,6224
120,7960
121,4274
122,7182
123,5320
124,4899
125,6919
126,4046
127,7311
128,2037
129,5925
130,660
131,2581
132,2424
133,3016
134,2875
135,8149
136,7056
137,5593
138,9808
139,1712
140,2576
141,4471
142,861
143,1968
144,2058
145,8390
146,740
147,5245
148,7134
149,968
150,439
151,1967
152,2996
153,3862
154,6692
155,168
156,8119
157,8580
158,2415
159,4339
160,8686
161,6584
162,1946
163,9522
164,685
165,606
166,6413
167,4668
168,9686
169,1604
170,5082
171,4837
172,1967
173,9847
174,3915
175,6565
176,8072
177,4018
178,9661
179,8634
180,8237
181,6593
182,8811
183,8272
184,9524
185,7893
186,2557
187,2054
188,1174
189,9725
190,9703
191,6831
192,3386
193,3223
194,3028
195,6566
196,4288
197,5048
198,1917
199,518
200,5495
201,2860
202,1096
203,5026
204,8468
205,9173
206,1779
207,6749
208,4029
209,8452
